country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number)
Afghanistan,97.5977805058819
Albania,11.93229306302292
Algeria,101.42704922556915
American Samoa,0.32530557900203355
Andean Latin America,1146.9600990012943
Andorra,1.4244887516227818
Angola,195.66640585995705
Antigua and Barbuda,4.655480037396403
Argentina,936.6125923311541
Armenia,89.31148510945353
Australasia,479.3993702364449
Australasia & Oceania,
Australia,432.9722806771518
Austria,369.0104621776979
Azerbaijan,271.27907523813093
Bahamas,14.284236569319498
Bahrain,5.887256160156726
Bangladesh,204.11603251229775
Barbados,5.810023973774162
Belarus,2580.928058914786
Belgium,388.6375086436556
Belize,5.782181175368659
Benin,85.36636450272363
Bermuda,0.8413844621095776
Bhutan,8.210802748487339
Bolivia,260.59739334174316
Bosnia and Herzegovina,216.45105913083995
Bosnia-Herzegovina,
Botswana,22.312459867801685
Brazil,7677.315171417967
Brunei,1.0495769700247648
Bulgaria,154.32965500175268
Burkina Faso,168.56973743973776
Burundi,90.90467554843032
Cambodia,139.10392156257163
Cameroon,232.96805035756356
Canada,951.1708613544737
Cape Verde,5.422486534781984
Caribbean,1091.235622022831
Central African Republic,60.168002351573485
Central America & Caribbean,
Central Asia,3297.5767897648147
Central Europe,7502.8322757804
"Central Europe, Eastern Europe, and Central Asia",67698.26899627577
Central Latin America,7697.121135196811
Central Sub-Saharan Africa,931.5840862646237
Chad,75.72098254999408
Chile,532.9113821061463
China,14928.269328596436
Colombia,88.67568460452898
Comoros,5.855335931193251
Congo,57.478764983127256
Costa Rica,71.94503215548126
Cote d'Ivoire,223.07948554007356
Croatia,254.4036077658318
Cuba,402.297895723693
Cyprus,6.534597714893374
Czechia,378.1357742569903
Czechoslovakia,
Democratic Republic of Congo,586.2142466837528
Denmark,645.4416201428377
Djibouti,8.336252990826335
Dominica,3.3235387394478715
Dominican Republic,129.35868348551568
East Asia,15731.531572825785
East Germany (GDR),
East Timor,
Eastern Europe,56897.85993073058
Eastern Sub-Saharan Africa,2868.4528732725917
Ecuador,436.2989458890933
Egypt,137.42551344028
El Salvador,944.5966158405644
England,1170.4695525987795
Equatorial Guinea,8.53194148454213
Eritrea,78.7430734628946
Estonia,291.022527307255
Eswatini,19.431576885111706
Ethiopia,619.5109126776133
Fiji,1.579700422856061
Finland,586.9473155407284
France,3352.9509436013113
French Guiana,
French Polynesia,
Gabon,23.52472490167116
Gambia,13.039051102340766
Georgia,81.50332960736974
Germany,5968.074290437505
Ghana,242.90392177669327
Greece,35.33561838106592
Greenland,9.061789622191116
Grenada,2.5738855044005873
Guadeloupe,
Guam,1.7073473048534022
Guatemala,1344.5025110209049
Guinea,85.68040088653864
Guinea-Bissau,14.450912268270448
Guyana,29.77144675119197
Haiti,212.5006546851212
High SDI,34785.703597747655
High-income,30212.009441458144
High-income Asia Pacific,1937.7509944237065
High-middle SDI,69974.08789432044
Honduras,239.4569548130377
Hong Kong,
Hungary,800.6200470628955
Iceland,6.547261486681472
India,18676.81625881524
Indonesia,570.8157574748133
International,
Iran,343.903193750005
Iraq,74.8351239578938
Ireland,86.43098683487283
Israel,63.48907276069694
Italy,386.3293161151902
Jamaica,9.963274179075267
Japan,747.1624874012269
Jordan,12.126848938909832
Kazakhstan,1256.3882887831483
Kenya,344.1669649593371
Kiribati,0.3399435842286729
Kosovo,
Kuwait,5.340089920838878
Kyrgyzstan,451.6253673013197
Laos,84.89038849402333
Latin America and Caribbean,17744.612513808956
Latvia,385.66319472282896
Lebanon,15.944322484852067
Lesotho,38.3673938331158
Liberia,33.77421369536953
Libya,26.663433682936848
Lithuania,631.1256914577747
Low SDI,9639.611461892482
Low-middle SDI,23247.627941078194
Luxembourg,21.099197357799678
Macau,
Madagascar,164.71803328383493
Malawi,160.20270835280397
Malaysia,314.408317117564
Maldives,0.6850926614297774
Mali,78.62731917719634
Malta,3.222852226475774
Marshall Islands,0.506613708732036
Martinique,
Mauritania,21.981232463046805
Mauritius,67.08077415306859
Mexico,4485.2394582331535
Micronesia (country),0.8717407803516393
Middle East & North Africa,
Middle SDI,29042.205295188254
Moldova,440.046509228289
Mongolia,246.87063186272442
Montenegro,11.920290270794343
Morocco,97.9840816895312
Mozambique,320.86412286890624
Myanmar,684.393738382102
Namibia,36.01283898558682
Nepal,191.6911623870437
Netherlands,337.7406882596088
New Caledonia,
New Zealand,46.42708955929297
Nicaragua,293.2064386945612
Niger,83.06814259887777
Nigeria,1387.1551859337785
North Africa and Middle East,1489.9299807275825
North America,10719.920055302671
North Korea,300.6182147005775
North Macedonia,20.959726470555502
Northern Ireland,59.01269385137242
Northern Mariana Islands,1.4195308644194389
Norway,262.17289681958306
Oceania,80.31179759320618
Oman,5.190954046665759
Pakistan,972.1354722439081
Palestine,6.380979031114839
Panama,20.153976132883837
Papua New Guinea,61.97081586873551
Paraguay,131.98048617005296
Peru,450.063759770458
Philippines,1181.6692682678288
Poland,3747.0477669601178
Portugal,249.79301420355952
Puerto Rico,170.2093695123135
Qatar,3.554030933770855
Romania,1157.0343245151387
Russia,41905.0077328953
Rwanda,132.97274860796088
Saint Kitts and Nevis,
Saint Lucia,5.786473156956505
Saint Vincent and the Grenadines,6.100314544230594
Samoa,0.8134610991846954
Sao Tome and Principe,1.4860753133629472
Saudi Arabia,57.09701685708918
Scotland,277.14227883061676
Senegal,84.86590311928806
Serbia,420.339021724172
Serbia-Montenegro,
Seychelles,0.8196425564559516
Sierra Leone,46.05420306280547
Singapore,9.20407272856602
Slovakia,184.81288444300645
Slovenia,144.845825115279
Solomon Islands,3.161038538167483
Somalia,114.57481008851963
South Africa,965.5885384755337
South America,
South Asia,20052.969728706965
South Korea,1180.3348573238886
South Sudan,74.6604782531009
Southeast Asia,6115.431643517827
"Southeast Asia, East Asia, and Oceania",21927.27501393682
Southern Latin America,1554.9933646713696
Southern Sub-Saharan Africa,1150.907046201121
Spain,429.7713992753698
Sri Lanka,614.6775568513755
Sub-Saharan Africa,7891.674947720005
Sudan,101.48161145095808
Suriname,13.594010138926084
Sweden,445.08035527558724
Switzerland,266.80623788948736
Syria,50.10343054028629
Taiwan,245.52926637971183
Tajikistan,172.42649151583853
Tanzania,389.55877322045006
Thailand,1779.4459879432904
Timor,7.655282368936596
Togo,56.47030298950961
Tonga,0.55469148978543
Trinidad and Tobago,25.76788000851857
Tropical Latin America,7809.295657588017
Tunisia,23.86282287645817
Turkey,228.80295191861592
Turkmenistan,177.02901180509917
USSR,
Uganda,224.2935498351149
Ukraine,10664.066216204332
United Arab Emirates,38.45021208445878
United Kingdom,1591.5783010842115
United States,9759.480872488728
United States Virgin Islands,10.141484296655785
Uruguay,85.3958098338352
Uzbekistan,551.1431085417296
Vanuatu,2.212519051403492
Venezuela,209.34446370169567
Vietnam,661.5505004193861
Wales,84.95377580344221
Wallis and Futuna,
West Germany (FRG),
Western Europe,15519.945656823955
Western Sahara,
Western Sub-Saharan Africa,2940.730941981668
World,167016.7406226343
World (excluding China),
Yemen,54.6403537601787
Yugoslavia,
Zaire,
Zambia,137.34391180058378
Zimbabwe,69.19423815397109
